Gender,Age,Region,Parental_Education,Family_Income,Distance_from_School,Internet_Access,Absences,Failures,Study_Time_Category,G1,G2,G3,Family_Support,School_Support,Activities,Dropout_Risk
Male,15,Urban,None,46675,8.2,Yes,8,0,1,10,3,12,Yes,No,No,Low
Male,17,Rural,Secondary,14634,7.9,Yes,4,0,2,9,10,6,Yes,Yes,Yes,Medium
Female,15,Urban,None,22786,3.1,Yes,6,2,2,9,4,20,Yes,Yes,Yes,Low
Male,18,Urban,Secondary,33457,5.3,No,6,0,3,8,9,8,No,No,No,Low
Female,17,Rural,None,22469,6.5,No,5,1,3,1,5,6,Yes,Yes,Yes,Medium
Male,18,Urban,Higher,38563,6.3,Yes,6,0,3,13,3,0,Yes,Yes,No,Low
Male,18,Urban,Secondary,37468,6.3,Yes,4,0,2,6,17,0,Yes,Yes,Yes,Low
Female,16,Rural,Secondary,37189,1.7,No,9,1,3,16,20,5,Yes,Yes,Yes,Medium
Male,15,Urban,Secondary,51895,1.5,No,4,0,4,19,16,0,Yes,Yes,No,Medium
Male,19,Urban,Primary,39661,8.5,Yes,6,0,2,7,6,15,Yes,No,Yes,Low
Female,15,Urban,Primary,32308,9.5,No,7,0,1,19,8,2,Yes,Yes,Yes,Medium
Female,19,Urban,Higher,27096,0.6,No,4,0,2,3,2,12,Yes,No,Yes,Low
Male,15,Urban,Higher,28142,4.9,Yes,1,2,3,4,8,20,Yes,Yes,Yes,Low
Female,18,Urban,None,14036,7.4,No,4,2,1,12,3,3,Yes,Yes,No,High
Male,17,Urban,Secondary,5000,0.5,Yes,4,1,3,6,18,16,Yes,Yes,Yes,Low
Male,17,Urban,Secondary,36956,1.8,Yes,6,2,4,5,8,9,Yes,No,No,Medium
Female,16,Rural,Secondary,48354,4.7,Yes,4,3,1,16,19,3,Yes,Yes,No,High
Female,19,Urban,None,25048,3.2,No,1,1,2,5,5,19,Yes,Yes,Yes,Low
Female,19,Urban,Primary,53806,5.6,No,3,0,2,18,10,11,Yes,Yes,No,Low
Female,19,Rural,Primary,27352,9.4,Yes,12,0,2,2,14,12,Yes,Yes,No,Low
Female,18,Rural,Higher,5000,2.4,Yes,1,2,2,8,5,3,Yes,Yes,No,High
Female,19,Urban,Secondary,43773,5.2,Yes,3,0,3,20,19,15,Yes,Yes,Yes,Low
Male,17,Rural,Secondary,22810,4.0,No,5,1,2,14,9,18,Yes,Yes,Yes,Low
Female,18,Urban,Higher,45131,5.4,No,4,0,4,7,17,6,No,No,Yes,Low
Male,15,Urban,Secondary,10837,5.0,Yes,6,0,2,14,15,0,Yes,Yes,Yes,Medium
Male,19,Rural,Higher,36180,12.9,Yes,5,0,2,0,3,15,Yes,No,Yes,Low
Male,19,Urban,Secondary,17993,9.5,Yes,3,0,3,7,19,1,Yes,Yes,No,Medium
Male,15,Urban,Primary,33021,0.5,Yes,8,2,2,3,12,0,Yes,Yes,Yes,High
Female,19,Urban,Higher,41499,2.3,Yes,5,0,2,9,4,13,No,No,No,Low
Female,15,Urban,Secondary,38016,2.7,No,7,0,3,15,19,19,Yes,No,Yes,Low
Female,18,Urban,Primary,31040,1.3,Yes,3,0,3,17,18,4,Yes,No,No,Low
Male,17,Rural,Primary,9323,0.9,Yes,10,0,2,3,17,14,Yes,No,No,Low
Male,15,Urban,None,40955,4.5,Yes,9,0,2,7,19,9,Yes,No,Yes,Low
Male,16,Rural,Secondary,45471,2.8,Yes,7,3,4,3,16,20,Yes,Yes,No,Medium
Male,15,Urban,Higher,14355,2.3,Yes,4,1,1,9,15,1,Yes,Yes,Yes,Medium
Female,19,Rural,Higher,16559,11.1,Yes,2,0,2,19,0,10,Yes,Yes,No,Low
Female,18,Rural,Higher,46103,3.0,Yes,5,2,3,3,20,15,Yes,No,No,Medium
Female,18,Rural,Primary,26873,3.7,No,6,3,1,15,0,18,Yes,No,Yes,High
Male,15,Urban,Primary,16948,7.2,Yes,7,0,2,11,19,3,Yes,No,No,Medium
Female,17,Urban,None,34088,3.7,No,6,0,1,9,13,9,Yes,Yes,Yes,Low
Female,16,Urban,Higher,20422,1.5,Yes,8,0,3,10,1,11,Yes,No,Yes,Low
Female,18,Rural,Primary,32415,4.2,Yes,3,0,3,1,14,1,Yes,Yes,Yes,Medium
Female,19,Rural,Secondary,23801,11.0,Yes,4,0,1,15,2,1,Yes,No,Yes,Medium
Male,19,Urban,Secondary,25087,3.6,No,3,0,1,18,12,8,Yes,Yes,No,Low
Male,17,Urban,Secondary,46655,2.3,Yes,7,0,3,11,18,11,Yes,No,Yes,Low
Male,18,Urban,Primary,5000,6.3,Yes,6,2,2,3,0,1,Yes,Yes,No,High
Female,15,Rural,Higher,38321,4.1,No,7,1,2,16,12,17,Yes,Yes,Yes,Medium
Male,19,Urban,Higher,44181,13.2,Yes,5,0,2,11,14,15,Yes,No,No,Low
Male,17,Rural,Primary,20670,2.6,No,4,1,1,15,15,18,No,No,Yes,Low
Male,18,Rural,Secondary,44066,10.2,Yes,5,1,2,2,10,14,Yes,Yes,Yes,Low
Male,18,Urban,Higher,15614,8.5,Yes,5,0,2,1,2,15,Yes,No,No,Low
Female,18,Urban,None,20100,3.9,Yes,3,0,2,6,7,5,Yes,No,No,Low
Female,18,Urban,Secondary,18372,5.0,No,4,0,3,5,5,14,Yes,Yes,No,Low
Male,18,Urban,Primary,44269,1.9,Yes,6,0,2,0,4,11,Yes,Yes,Yes,Low
Male,19,Urban,Secondary,5000,3.4,Yes,10,0,3,14,14,11,Yes,Yes,Yes,Low
Female,17,Urban,None,54602,3.8,Yes,5,0,2,11,8,9,Yes,Yes,Yes,Low
Male,18,Rural,Secondary,25425,5.5,Yes,2,0,2,12,4,20,Yes,No,No,Low
Male,16,Urban,Primary,39223,0.8,No,7,0,1,7,20,14,Yes,Yes,Yes,Low
Male,16,Urban,Secondary,37930,5.9,Yes,3,2,2,8,9,3,Yes,No,Yes,Medium
Male,17,Rural,Higher,32268,4.6,Yes,3,1,3,0,5,9,Yes,No,No,Medium
Female,15,Rural,Higher,20989,6.2,Yes,6,1,3,4,10,18,Yes,No,No,Low
Female,15,Urban,Higher,48635,6.6,Yes,6,1,2,6,3,13,Yes,No,No,Low
Male,15,Urban,Secondary,22277,4.3,Yes,6,1,3,17,19,9,Yes,No,Yes,Low
Male,16,Urban,None,19031,6.5,Yes,3,0,2,7,11,16,Yes,Yes,No,Low
Female,15,Rural,Primary,43165,4.7,No,7,2,3,9,19,10,Yes,No,Yes,High
Female,19,Rural,Higher,32186,7.2,No,11,1,3,7,5,17,No,No,Yes,Medium
Female,18,Rural,Primary,50367,5.9,Yes,9,0,2,11,0,1,Yes,Yes,No,Medium
Female,16,Urban,Primary,29059,5.5,No,6,0,2,15,17,10,No,No,No,Low
Male,17,Rural,Secondary,20236,4.7,Yes,3,0,3,11,1,7,Yes,Yes,No,Low
Male,17,Urban,Primary,34121,8.9,Yes,3,0,2,2,4,18,Yes,Yes,Yes,
Female,18,Urban,Primary,23285,6.2,Yes,4,0,4,17,15,15,Yes,No,No,Low
Male,16,Urban,Higher,20671,1.0,Yes,8,0,3,4,11,3,Yes,No,Yes,Low
Female,15,Urban,Higher,42478,3.6,Yes,4,2,3,13,11,13,Yes,No,No,Medium
Female,15,Urban,Secondary,57473,4.3,No,5,0,2,19,10,16,Yes,Yes,Yes,Low
Female,19,Rural,Higher,26303,5.0,No,10,0,1,20,19,10,Yes,No,Yes,Low
Male,19,Rural,Secondary,15378,5.5,Yes,7,0,1,15,18,2,Yes,No,Yes,Medium
Female,15,Urban,Secondary,27698,2.2,Yes,5,1,2,5,20,3,No,Yes,Yes,Medium
Male,17,Urban,None,37722,4.8,No,5,2,2,15,6,20,Yes,Yes,Yes,Medium
Female,17,Urban,Primary,33862,4.1,Yes,3,0,4,19,1,12,Yes,No,No,Low
Female,19,Urban,Secondary,47913,8.3,Yes,6,0,2,13,5,16,Yes,Yes,Yes,Low
Male,18,Urban,Higher,39976,2.0,Yes,4,0,3,19,3,19,No,Yes,No,
Female,15,Rural,Secondary,13448,4.9,Yes,4,1,3,4,1,20,Yes,Yes,No,Low
Female,19,Urban,Primary,22600,2.9,Yes,1,1,3,13,16,19,Yes,No,No,Low
Male,19,Urban,Primary,9287,10.6,No,8,1,2,10,7,9,Yes,Yes,Yes,Medium
Male,15,Urban,Higher,47170,8.8,No,0,0,2,20,4,11,Yes,Yes,No,Low
Male,15,Rural,Primary,5000,0.5,Yes,4,0,2,8,9,7,Yes,Yes,Yes,Low
Male,17,Rural,Secondary,10750,2.6,No,7,0,4,19,15,2,No,Yes,No,Medium
Male,18,Rural,None,22322,7.6,Yes,7,3,3,6,1,20,Yes,Yes,No,Medium
Female,18,Rural,None,38458,6.4,Yes,7,0,2,4,18,9,Yes,Yes,Yes,Low
Male,15,Urban,Secondary,22175,6.3,No,2,1,2,14,6,6,No,Yes,No,Medium
Male,16,Urban,Secondary,24521,5.6,Yes,7,2,2,12,1,9,Yes,Yes,Yes,Medium
Female,19,Rural,Primary,24817,7.9,Yes,3,2,2,11,12,6,Yes,No,Yes,High
Male,19,Urban,Primary,32591,7.3,Yes,6,0,3,14,3,17,Yes,Yes,Yes,Low
Female,15,Urban,Higher,11692,4.1,No,4,0,3,18,15,19,Yes,No,No,Low
Male,16,Urban,Primary,15792,1.4,No,2,2,3,18,9,13,Yes,No,No,Medium
Male,17,Urban,Secondary,55213,0.5,No,2,3,3,9,16,11,Yes,Yes,Yes,High
Female,15,Urban,Higher,36035,4.7,Yes,3,0,2,16,20,7,Yes,Yes,Yes,Low
Female,15,Urban,Primary,41411,0.5,No,1,2,2,15,13,6,No,No,Yes,Medium
Female,19,Rural,Higher,30870,5.8,Yes,8,0,3,4,11,4,Yes,No,No,Low
Female,15,Urban,Primary,27895,4.1,No,5,0,3,3,12,0,Yes,Yes,No,Medium
Female,15,Urban,Secondary,36856,10.8,Yes,5,0,1,9,19,14,Yes,Yes,No,Low
Male,15,Urban,Primary,40914,6.0,Yes,6,1,2,20,7,8,Yes,Yes,No,Low
Male,19,Urban,Higher,42691,4.9,Yes,1,0,1,5,16,11,No,No,No,Low
Female,17,Urban,Primary,28101,0.5,No,4,0,3,10,17,17,Yes,No,Yes,Low
Female,17,Urban,Primary,44330,1.2,No,1,0,1,10,20,10,No,Yes,Yes,Low
Female,15,Urban,Higher,5000,7.0,Yes,1,0,3,15,9,9,Yes,Yes,No,Low
Male,19,Urban,Secondary,43384,4.1,Yes,5,2,2,13,12,9,Yes,Yes,No,Medium
Male,17,Urban,Secondary,23596,12.6,No,1,0,3,18,1,17,No,No,No,Low
Female,17,Urban,Primary,38300,4.8,Yes,4,1,2,3,16,0,Yes,Yes,Yes,Medium
Male,17,Urban,Secondary,20260,5.5,No,7,1,2,4,5,19,Yes,No,Yes,Low
Female,19,Urban,None,10099,1.0,No,4,1,2,18,11,10,No,Yes,Yes,Medium
Female,19,Urban,None,35095,7.8,Yes,4,3,2,16,12,1,Yes,No,No,High
Male,15,Rural,Secondary,7477,2.2,Yes,4,0,3,17,3,10,Yes,Yes,No,Low
Female,18,Urban,Primary,24004,6.6,Yes,1,0,3,7,14,1,No,No,Yes,Low
Female,17,Urban,Higher,17813,7.4,Yes,6,0,2,3,15,8,Yes,Yes,No,Low
Male,18,Urban,Higher,27374,5.3,Yes,3,0,2,17,20,0,Yes,No,Yes,Low
Female,19,Rural,Secondary,41958,10.3,No,4,0,1,10,18,5,Yes,Yes,Yes,Medium
Female,19,Rural,Higher,22652,3.2,Yes,5,0,3,13,14,1,Yes,No,Yes,Medium
Female,19,Rural,Secondary,34718,10.0,Yes,8,2,2,12,5,14,Yes,Yes,No,Medium
Male,18,Rural,Primary,41090,1.2,Yes,3,1,3,15,19,0,Yes,Yes,No,Medium
Female,19,Urban,Secondary,20891,7.4,Yes,4,0,2,11,5,17,Yes,Yes,No,Low
Male,15,Rural,Primary,21108,4.6,No,2,0,2,8,4,3,No,Yes,No,Medium
Male,19,Urban,Primary,50539,2.9,Yes,3,0,1,6,1,12,Yes,Yes,Yes,Low
Female,16,Urban,Higher,28809,0.5,Yes,2,0,1,9,19,3,Yes,Yes,Yes,Low
Male,18,Urban,Secondary,37637,4.2,No,6,1,2,16,1,14,Yes,Yes,No,Low
Male,16,Urban,Higher,37523,4.0,Yes,5,0,2,17,4,1,Yes,Yes,No,Low
Female,19,Rural,Primary,12030,5.5,Yes,2,0,1,6,2,8,Yes,Yes,Yes,Low
Female,15,Urban,Secondary,18586,7.2,Yes,0,0,3,2,5,11,Yes,Yes,Yes,Low
Female,17,Rural,None,35630,2.6,No,4,0,2,14,10,13,Yes,Yes,Yes,Low
Female,19,Urban,Secondary,5000,10.3,Yes,4,0,2,15,4,19,Yes,Yes,Yes,Low
Male,15,Urban,Secondary,26830,3.4,No,8,0,3,20,17,3,Yes,No,Yes,Medium
Male,18,Urban,Secondary,17020,6.8,No,4,0,4,16,13,14,Yes,Yes,Yes,Low
Male,16,Urban,Primary,46657,5.3,Yes,3,0,2,12,9,3,Yes,No,No,Low
Female,16,Rural,None,35191,4.4,Yes,6,0,3,2,2,4,No,Yes,Yes,Low
Female,16,Urban,Primary,47868,5.1,Yes,4,0,3,19,15,9,Yes,No,No,Low
Female,18,Urban,Secondary,29413,2.2,Yes,7,1,4,19,15,11,Yes,Yes,No,Low
Female,15,Rural,Higher,28291,3.8,No,5,0,2,4,10,11,Yes,No,Yes,Low
Male,18,Urban,Primary,25426,1.0,Yes,5,0,4,8,3,7,Yes,Yes,No,Low
Female,16,Rural,Secondary,22453,3.4,Yes,5,0,2,17,10,3,Yes,Yes,Yes,Low
Male,19,Urban,Higher,70269,3.6,No,4,0,2,10,7,2,No,Yes,No,Low
Female,17,Urban,Secondary,42107,7.5,Yes,6,0,2,10,15,0,Yes,Yes,Yes,Low
Male,18,Urban,Secondary,14007,4.0,Yes,2,0,2,15,7,17,Yes,Yes,Yes,Low
Female,18,Urban,Higher,69589,3.7,Yes,5,0,3,7,8,19,No,Yes,No,
Male,15,Urban,Primary,23925,5.7,Yes,4,0,2,1,13,13,Yes,No,Yes,Low
Male,15,Rural,Primary,34817,5.5,No,9,0,2,20,7,16,Yes,Yes,Yes,Low
Male,18,Rural,None,44093,3.2,Yes,2,0,1,9,15,5,Yes,Yes,Yes,Low
Female,16,Rural,Higher,6930,6.2,Yes,7,1,2,5,1,5,Yes,No,Yes,Medium
Female,17,Urban,Higher,17590,4.5,Yes,4,0,2,3,19,9,Yes,No,No,Low
Male,15,Urban,Secondary,54722,3.2,Yes,4,0,2,20,18,18,Yes,Yes,Yes,
Male,16,Urban,None,26627,3.5,Yes,7,0,2,4,19,9,Yes,No,Yes,Low
Female,19,Urban,Secondary,44980,7.8,Yes,6,0,1,10,19,2,No,Yes,Yes,Low
Male,15,Rural,Primary,23197,3.6,No,5,1,2,11,18,0,Yes,Yes,Yes,High
Female,16,Urban,None,28574,5.8,No,4,0,3,15,18,17,Yes,Yes,No,Low
Female,16,Urban,Secondary,56778,1.2,Yes,2,1,1,19,17,14,Yes,Yes,Yes,Low
Male,17,Urban,Higher,36562,8.3,Yes,4,0,1,20,12,19,No,Yes,No,
Male,17,Rural,Higher,24827,3.3,Yes,4,0,2,13,16,3,Yes,Yes,No,Low
Female,19,Urban,Secondary,19749,6.2,Yes,3,0,2,13,0,17,Yes,Yes,Yes,Low
Male,16,Urban,None,21121,4.2,Yes,5,1,2,19,20,9,Yes,Yes,No,Low
Male,16,Urban,Primary,48623,6.2,Yes,3,0,4,19,4,18,Yes,No,No,
Female,17,Urban,Primary,41482,6.3,Yes,3,0,3,14,19,16,Yes,No,Yes,Low
Female,15,Urban,Secondary,12769,4.6,Yes,3,0,3,7,20,9,Yes,No,Yes,Low
Female,15,Urban,Higher,31307,0.5,No,5,0,2,4,12,3,Yes,No,Yes,Low
Female,18,Rural,Primary,28997,8.3,Yes,5,3,2,8,5,4,Yes,No,Yes,High
Male,17,Urban,Secondary,34741,4.6,No,4,0,2,20,9,6,Yes,No,Yes,Low
Male,18,Rural,None,20946,6.1,Yes,4,0,3,15,8,18,No,Yes,No,Low
Female,17,Rural,Primary,46467,7.1,Yes,6,0,3,2,5,18,No,Yes,No,Low
Female,19,Rural,Secondary,29979,3.6,No,10,0,2,11,0,7,Yes,Yes,No,Medium
Male,16,Urban,Primary,35601,6.6,Yes,8,0,2,6,17,0,Yes,Yes,No,Low
Female,19,Urban,Secondary,18229,2.8,No,1,0,2,16,6,7,Yes,Yes,No,Low
Male,17,Rural,Higher,18985,6.2,Yes,7,0,1,14,9,18,Yes,Yes,No,Low
Female,16,Rural,Secondary,69862,5.1,Yes,4,0,3,14,11,16,Yes,No,No,Low
Male,15,Urban,None,57001,3.7,Yes,6,1,2,11,20,8,Yes,Yes,Yes,Low
Male,15,Rural,Primary,28954,5.1,Yes,4,0,2,20,14,19,No,Yes,Yes,Low
Male,18,Urban,Secondary,52995,1.8,No,7,0,3,1,16,15,Yes,Yes,Yes,Low
Male,17,Urban,Primary,48191,5.9,No,5,0,1,7,2,8,Yes,No,Yes,Low
Male,17,Urban,Primary,20621,6.2,No,2,0,2,4,14,18,Yes,Yes,Yes,Low
Female,15,Urban,Secondary,19126,6.0,Yes,1,0,1,2,0,15,Yes,Yes,Yes,Low
Female,19,Urban,Secondary,40030,9.5,Yes,10,1,2,0,10,20,Yes,No,Yes,Low
Female,16,Rural,Secondary,33900,4.7,Yes,3,0,1,15,5,12,Yes,No,No,Low
Female,19,Urban,Primary,23969,4.9,Yes,6,0,2,9,15,18,Yes,No,No,
Male,19,Urban,Higher,40818,1.5,No,2,0,3,9,20,4,Yes,No,No,Low
Male,15,Urban,Primary,8362,9.7,Yes,4,0,3,10,11,1,No,Yes,Yes,Medium
Female,15,Urban,None,31725,0.5,Yes,8,0,2,11,20,3,Yes,No,No,Low
Male,15,Urban,Secondary,11416,5.7,Yes,6,1,3,7,14,11,No,Yes,No,Medium
Female,18,Rural,Secondary,11910,3.2,No,3,2,2,4,17,17,Yes,No,No,Medium
Male,19,Rural,Higher,19398,5.2,No,3,0,3,8,9,2,No,Yes,No,Medium
Female,17,Rural,Secondary,35449,1.1,Yes,5,0,2,10,11,20,Yes,Yes,Yes,Low
Male,16,Rural,Higher,19871,7.7,Yes,5,0,2,14,19,18,No,Yes,Yes,Low
Female,18,Urban,Higher,11728,2.1,Yes,5,0,1,16,18,3,Yes,Yes,No,Low
Female,17,Urban,Secondary,37158,8.5,Yes,6,0,1,10,4,3,Yes,Yes,Yes,Low
Female,19,Urban,Secondary,52391,2.2,No,2,0,4,12,17,15,Yes,Yes,Yes,Low
Male,15,Urban,Secondary,39582,7.9,Yes,9,1,1,16,18,10,Yes,No,Yes,Low
Female,19,Rural,Higher,57026,2.5,Yes,8,0,2,6,11,12,Yes,Yes,Yes,Low
Female,16,Urban,Secondary,51137,3.2,Yes,6,0,2,8,0,20,No,Yes,No,
Female,18,Urban,Primary,22688,5.0,Yes,8,0,2,17,1,10,Yes,No,Yes,Low
Female,18,Rural,Secondary,39482,2.5,No,2,1,3,17,2,6,Yes,No,Yes,Medium
Female,16,Rural,Primary,28625,2.4,Yes,5,0,4,9,11,13,Yes,Yes,No,Low
Male,17,Rural,Secondary,45931,2.5,Yes,8,0,2,11,13,3,Yes,Yes,Yes,Medium
Female,17,Urban,Primary,28622,6.0,No,4,0,1,17,6,7,Yes,No,No,Low
Female,18,Urban,Secondary,18169,5.0,Yes,2,2,2,20,3,11,Yes,Yes,Yes,Medium
Female,18,Urban,Higher,50601,5.2,No,4,0,2,8,11,12,No,Yes,No,Low
Male,15,Urban,Primary,34766,4.0,Yes,2,0,2,8,7,8,Yes,Yes,Yes,Low
Male,17,Urban,None,20047,6.6,Yes,2,1,2,9,0,8,No,No,No,Low
Female,16,Urban,Primary,22519,8.2,Yes,4,0,3,0,4,1,Yes,Yes,Yes,Low
Female,17,Rural,Secondary,19951,6.7,Yes,4,0,2,10,0,2,No,Yes,No,Medium
Male,15,Urban,Primary,14973,4.4,Yes,4,0,1,13,14,20,Yes,No,Yes,Low
Female,18,Rural,Primary,22837,1.3,Yes,10,0,2,9,12,11,Yes,Yes,Yes,Low
Male,18,Rural,Primary,35595,0.5,Yes,6,0,3,13,12,16,Yes,Yes,No,Low
Male,15,Urban,Secondary,30960,4.8,Yes,7,1,2,18,3,3,Yes,Yes,Yes,Medium
Male,16,Rural,Primary,23426,0.5,Yes,1,0,2,9,14,13,Yes,No,No,Low
Male,18,Urban,Secondary,52432,4.4,No,9,3,2,16,11,20,Yes,No,No,Medium
Female,19,Urban,None,5000,9.2,Yes,6,1,2,1,7,8,Yes,No,Yes,Medium
Male,18,Rural,Secondary,34592,1.5,Yes,6,3,2,13,15,7,Yes,Yes,Yes,High
Female,19,Urban,Primary,27858,1.1,No,4,0,4,17,11,0,Yes,Yes,No,Medium
Female,15,Rural,Secondary,15447,6.9,Yes,6,0,3,1,5,12,Yes,Yes,Yes,Low
Female,15,Urban,Primary,35466,0.5,Yes,3,1,3,19,14,2,No,Yes,Yes,Medium
Female,18,Urban,Secondary,26703,6.1,Yes,9,1,3,18,6,13,Yes,No,No,Low
Male,17,Urban,Higher,48706,9.4,Yes,4,2,3,7,4,18,Yes,Yes,Yes,Low
Female,19,Urban,Higher,43020,2.4,Yes,7,0,3,5,14,5,Yes,No,No,Low
Female,16,Urban,Secondary,58591,1.9,No,3,0,2,19,11,3,Yes,Yes,Yes,Low
Male,18,Rural,Secondary,22750,6.8,No,10,2,2,6,10,19,No,Yes,No,Medium
Female,16,Rural,Higher,50948,1.5,Yes,3,2,1,12,3,0,No,No,Yes,High
Female,18,Rural,Secondary,12512,7.4,Yes,7,0,2,1,12,9,No,Yes,Yes,Low
Female,17,Urban,Primary,28340,1.7,Yes,7,0,2,6,17,12,No,No,No,Low
Female,17,Rural,Higher,23021,10.3,No,4,0,3,0,7,11,No,Yes,Yes,Low
Female,17,Rural,Secondary,39036,7.0,Yes,5,0,2,5,6,10,Yes,No,Yes,Low
Male,17,Rural,Primary,38674,5.1,Yes,5,2,3,15,15,3,No,No,No,High
Female,15,Urban,Primary,16490,10.1,Yes,8,0,3,7,2,16,Yes,Yes,No,Low
Female,15,Rural,Primary,39872,8.1,Yes,7,0,1,12,15,14,Yes,Yes,Yes,Low
Male,19,Rural,Secondary,24292,6.1,Yes,7,2,2,17,15,20,Yes,Yes,Yes,Medium
Male,16,Urban,Primary,17748,0.5,Yes,3,0,1,13,6,2,Yes,No,No,Low
Male,18,Rural,Primary,29823,2.9,No,4,2,1,17,12,9,Yes,Yes,Yes,High
Female,18,Urban,Primary,7847,8.3,Yes,3,1,2,3,12,20,Yes,Yes,No,Low
Female,15,Urban,Secondary,43969,1.1,Yes,5,1,3,14,20,13,Yes,No,Yes,Low
Male,18,Urban,Secondary,29165,2.7,No,6,0,2,4,18,18,Yes,No,No,Low
Female,15,Urban,Primary,29493,1.9,Yes,6,0,3,20,17,20,Yes,No,Yes,
Male,19,Urban,None,28692,6.2,Yes,7,0,3,13,6,3,No,Yes,Yes,Low
Female,16,Rural,Primary,54702,7.9,Yes,1,0,2,15,19,13,Yes,Yes,Yes,Low
Female,19,Urban,Higher,52783,7.9,Yes,2,0,3,14,17,5,No,No,Yes,Low
Female,17,Rural,Secondary,50261,2.4,Yes,6,0,1,10,17,11,Yes,Yes,Yes,Low
Male,17,Rural,Secondary,28724,6.2,No,4,0,3,1,3,1,No,No,Yes,Medium
Male,17,Urban,None,13265,2.3,No,9,0,1,17,8,16,Yes,No,No,Low
Male,19,Rural,Secondary,29760,4.4,Yes,5,1,3,3,20,0,Yes,Yes,Yes,Medium
Male,18,Rural,Secondary,34716,6.6,Yes,5,1,2,14,15,16,Yes,Yes,No,Low
Female,16,Rural,Primary,42189,8.2,Yes,2,0,4,11,3,4,Yes,Yes,Yes,Low
Female,17,Rural,Primary,34667,0.5,Yes,5,1,2,2,7,15,No,Yes,No,Low
Female,17,Rural,Primary,14602,5.3,Yes,6,0,1,3,2,13,Yes,Yes,No,Low
Female,17,Rural,Higher,21968,9.2,Yes,5,1,2,20,8,19,No,No,No,Low
Female,16,Urban,Higher,20607,5.7,Yes,5,0,3,15,7,9,Yes,Yes,Yes,Low
Female,17,Rural,Secondary,38085,5.2,Yes,5,0,3,5,11,20,Yes,Yes,No,Low
Female,16,Rural,Secondary,38453,3.3,Yes,9,0,4,1,13,2,Yes,Yes,Yes,Medium
Female,17,Urban,Primary,40419,9.1,Yes,3,0,3,8,9,2,Yes,Yes,Yes,Low
Male,19,Urban,Secondary,34515,3.4,Yes,2,0,2,11,20,17,No,Yes,No,
Male,19,Rural,Secondary,5000,4.7,No,3,0,2,11,16,17,Yes,Yes,Yes,Low
Male,16,Urban,Primary,5000,3.6,Yes,3,0,1,13,10,3,Yes,Yes,Yes,Low
Female,19,Rural,Higher,27897,5.3,No,4,0,4,16,9,6,Yes,Yes,Yes,Medium
Female,16,Urban,Primary,31471,9.3,No,3,0,4,8,12,0,Yes,Yes,Yes,Medium
Male,19,Urban,Primary,48804,2.3,No,3,0,2,11,1,15,Yes,No,Yes,Low
Female,19,Urban,Secondary,31166,5.3,Yes,2,0,3,9,0,16,Yes,Yes,No,
Female,16,Urban,Secondary,15360,6.2,No,4,0,3,10,0,7,Yes,Yes,Yes,Low
Male,18,Rural,Secondary,39932,2.6,Yes,7,2,2,1,15,5,No,No,No,High
Male,19,Rural,Primary,29741,4.8,Yes,1,0,3,15,9,1,Yes,No,No,Low
Female,17,Rural,Higher,23969,10.6,Yes,6,2,1,0,9,9,Yes,Yes,No,Medium
Female,18,Urban,Secondary,5781,0.5,Yes,4,0,3,0,6,16,Yes,Yes,No,Low
Female,16,Urban,Secondary,31277,3.7,Yes,5,1,2,1,6,18,Yes,No,No,Low
Female,18,Rural,Higher,33432,5.8,Yes,2,0,2,11,0,3,Yes,Yes,Yes,Low
Female,15,Rural,Secondary,15057,3.9,Yes,10,0,2,19,12,12,Yes,Yes,Yes,Low
Female,15,Urban,Primary,41165,13.7,Yes,4,0,2,17,4,20,Yes,Yes,No,
Female,19,Urban,Secondary,39821,6.6,Yes,6,0,2,11,2,18,Yes,No,No,
Female,19,Urban,None,30733,1.9,Yes,7,0,3,0,12,15,Yes,Yes,No,Low
Male,17,Rural,None,30175,0.5,No,3,2,2,10,11,12,Yes,Yes,Yes,Medium
Male,18,Rural,Secondary,44190,6.0,Yes,3,1,3,1,17,4,Yes,Yes,Yes,Medium
Male,15,Urban,Higher,35512,2.7,Yes,9,0,2,11,4,11,No,Yes,Yes,Low
Female,19,Urban,Primary,19466,8.9,No,7,3,4,1,4,6,Yes,Yes,No,High
Female,18,Rural,Secondary,27035,4.2,Yes,6,3,1,16,1,8,Yes,No,No,High
Female,19,Urban,Primary,38352,3.3,Yes,10,0,2,5,5,4,Yes,Yes,No,Low
Male,19,Urban,Secondary,5000,3.2,No,7,2,1,15,6,3,No,No,No,High
Male,15,Urban,Secondary,16027,8.0,No,3,0,2,18,0,9,No,Yes,Yes,Low
Male,15,Urban,Secondary,40232,6.2,Yes,9,0,2,5,2,15,Yes,Yes,No,Low
Male,19,Urban,Primary,48133,10.3,Yes,2,0,4,6,19,10,Yes,Yes,Yes,Low
Female,16,Rural,Secondary,45315,4.4,No,8,1,1,18,1,8,Yes,Yes,No,Medium
Male,19,Rural,Higher,43399,7.6,Yes,3,0,2,19,9,4,No,Yes,Yes,Low
Male,19,Rural,Secondary,31946,7.6,Yes,3,0,3,16,10,10,Yes,No,Yes,Low
Female,17,Rural,Secondary,14566,7.0,Yes,5,0,1,5,20,8,Yes,Yes,Yes,Low
Male,17,Urban,Higher,27050,3.5,Yes,3,0,3,14,12,16,Yes,Yes,No,Low
Female,17,Rural,None,5000,6.4,No,5,0,3,8,15,10,Yes,No,No,Medium
